DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Desert Sands Unified,John F. Kennedy Elementary,Desert Sands Unified_John F. Kennedy Elementary,#N/A,TRUE,6
Riverside Unified,Victoria Elementary,Riverside Unified_Victoria Elementary,#N/A,TRUE,3
Riverside Unified,Magnolia Elementary,Riverside Unified_Magnolia Elementary,#N/A,TRUE,6
Riverside Unified,Central Middle,Riverside Unified_Central Middle,#N/A,TRUE,3
Riverside Unified,Adams Elementary,Riverside Unified_Adams Elementary,#N/A,TRUE,5
Riverside Unified,Bryant Elementary,Riverside Unified_Bryant Elementary,#N/A,TRUE,4
Riverside Unified,Washington Elementary,Riverside Unified_Washington Elementary,#N/A,TRUE,23
Riverside Unified,Highland Elementary,Riverside Unified_Highland Elementary,#N/A,TRUE,6
Alvord Unified,Foothill Elementary,Alvord Unified_Foothill Elementary,#N/A,TRUE,6
Corona-Norco Unified,Dwight D. Eisenhower Elementary,Corona-Norco Unified_Dwight D. Eisenhower Elementary,#N/A,TRUE,3
Corona-Norco Unified,Foothill Elementary,Corona-Norco Unified_Foothill Elementary,#N/A,TRUE,6
Corona-Norco Unified,George Washington Elementary,Corona-Norco Unified_George Washington Elementary,#N/A,TRUE,7
Corona-Norco Unified,Jefferson Elementary,Corona-Norco Unified_Jefferson Elementary,#N/A,TRUE,22
Corona-Norco Unified,Santiago High,Corona-Norco Unified_Santiago High,#N/A,TRUE,2
Temecula Valley Unified,Chaparral High,Temecula Valley Unified_Chaparral High,#N/A,TRUE,2
Riverside Unified,Mark Twain Elementary,Riverside Unified_Mark Twain Elementary,#N/A,TRUE,6
Riverside Unified,John F. Kennedy Elementary,Riverside Unified_John F. Kennedy Elementary,#N/A,TRUE,6
Twin Rivers Unified,Madison Elementary,Twin Rivers Unified_Madison Elementary,#N/A,TRUE,10
Sacramento City Unified,Abraham Lincoln Elementary,Sacramento City Unified_Abraham Lincoln Elementary,#N/A,TRUE,7
Sacramento City Unified,Sequoia Elementary,Sacramento City Unified_Sequoia Elementary,#N/A,TRUE,9
Twin Rivers Unified,Frontier Elementary,Twin Rivers Unified_Frontier Elementary,#N/A,TRUE,2
Twin Rivers Unified,Pioneer Elementary,Twin Rivers Unified_Pioneer Elementary,#N/A,TRUE,7
Twin Rivers Unified,Dry Creek Elementary,Twin Rivers Unified_Dry Creek Elementary,#N/A,TRUE,2
Twin Rivers Unified,Orchard Elementary,Twin Rivers Unified_Orchard Elementary,#N/A,TRUE,4
Twin Rivers Unified,Northwood Elementary,Twin Rivers Unified_Northwood Elementary,#N/A,TRUE,4
Sacramento City Unified,Bret Harte Elementary,Sacramento City Unified_Bret Harte Elementary,#N/A,TRUE,4
